annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
1975,No budget,"Michel Boisrond,Writers,Catherine Breillat",Michel Boisrond,1h 40m,"Comedy,Drama",French,,225,"France,Italy",R,No Popularity Score,"October 29, 1975",Michel Boisrond,5.3,Catherine & Co.
1974,No budget,"Claude Zidi,Claude Zidi,Pierre Richard",Claude Zidi,1h 32m,Comedy,French,,1.5K,France,PG,No Popularity Score,"October 9, 1974",Claude Zidi,6.4,I'm Losing My Temper
TV Movie,No budget,"Andrew Eaton,Lindsay Anderson,Stars",Andrew Eaton,1h 30m,"Documentary,Biography",English,,87,"United Kingdom,United States",1992,No Popularity Score,,Andrew Eaton,6.9,John Ford
Music Video,No budget,"Thirumala Kishore,Stars,Saketh",Thirumala Kishore,5m,Music,Telugu,,0,India,2021,No Popularity Score,,Thirumala Kishore,0.0,Saketh & Keerthana Sharma: Dinchak
Video,No budget,"Segundo de Chomón,Sergio Capelo,Rafael Ordóñez Arrieta",Segundo de Chomón,45m,"Documentary,Adventure,Fantasy","English,Spanish",,21,Spain,1996,No Popularity Score,,Segundo de Chomón,6.6,"Méliès, los Orígenes"
TV Movie,No budget,"Andrew Rooney,Perry Wolff,Stars",Andrew Rooney,51m,Documentary,English,,89,United States,1968,No Popularity Score,,Andrew Rooney,7.5,"Black History: Lost, Stolen or Strayed"
Video,No budget,"Sally Rand,Lili St. Cyr,Creighton Hale",Sally Rand,0,"Documentary,Animation,Adult",English,,21,United States,2004,No Popularity Score,,Sally Rand,5.5,The Subject Is Sex
1972,No budget,"Paul Morrissey,Andy Warhol,Paul Morrissey",Paul Morrissey,1h 30m,Drama,English,,93,United States,R,No Popularity Score,,Paul Morrissey,5.6,L'Amour
Video,No budget,"Celia Cervero,Celia Cervero,Gonzalo Suárez",Celia Cervero,11m,"Documentary,Short",Spanish,,0,Spain,2008,No Popularity Score,,Celia Cervero,0.0,"Sr. Ditirambo, supongo"
1964,No budget,"Peter Perry Jr.,Peter Perry Jr.,Stars",Peter Perry Jr.,1h 6m,"Comedy,Fantasy,Horror",English,,404,United States,X,No Popularity Score,December 1970,Peter Perry Jr.,4.7,Kiss Me Quick!
1967,No budget,"Gonzalo Suárez,Writer,Gonzalo Suárez",Gonzalo Suárez,0,Short,Spanish,,20,Spain,26m,No Popularity Score,,Gonzalo Suárez,6.4,Ditirambo vela por nosotros
2021,"€1,300,000 (estimated)","Pietro Marcello,Francesco Munzi,Alice Rohrwacher",Pietro Marcello,0,Documentary,Italian,,446,Italy,1h 45m,No Popularity Score,"July 12, 2021",Pietro Marcello,6.8,Futura
1921,No budget,"Winsor McCay,Writer,Winsor McCay",Winsor McCay,0,"Animation,Short,Fantasy","None,English",,378,United States,12m,No Popularity Score,,Winsor McCay,5.7,Dreams of the Rarebit Fiend: Bug Vaudeville
1931,No budget,"Marie-Louise Iribe,Writers,Peter Paul Brauer",Marie-Louise Iribe,0,"Drama,Fantasy",French,,196,France,52m,No Popularity Score,"February 27, 1931",Marie-Louise Iribe,6.4,The Erl King
TV Movie,"$4,200,000 (estimated)","Kenny Ortega,Peter Barsocchini,Stars",Kenny Ortega,TV-G,"Comedy,Drama,Family","English,Spanish",,96K,United States,2006,"1,035","October 30, 2006",Kenny Ortega,5.6,High School Musical
2018,"IDR 15,000,000,000 (estimated)","Pidi Baiq,Fajar Bustomi,Writers",Pidi Baiq,1h 50m,"Drama,Romance",Indonesian,,3.7K,Indonesia,TV-14,No Popularity Score,,Pidi Baiq,7.0,Dilan 1990
1950,"$1,752,000 (estimated)","Billy Wilder,Charles Brackett,Billy Wilder",Billy Wilder,1h 50m,"Drama,Film-Noir",English,,236K,United States,Passed,"2,113","April 20, 1951",Billy Wilder,8.4,Sunset Blvd.
1954,"$3,000,000 (estimated)","Robert Aldrich,Roland Kibbee,James R. Webb",Robert Aldrich,1h 34m,"Adventure,Drama,Western","English,Spanish,French",,11K,"United States,Mexico",Approved,No Popularity Score,"May 11, 1955",Robert Aldrich,7.0,Vera Cruz
1990,"$9,500,000 (estimated)","David Lynch,Barry Gifford,David Lynch",David Lynch,2h 5m,"Crime,Drama,Thriller","English,Spanish",,101K,United States,R,"2,029","May 19, 1990",David Lynch,7.2,Wild at Heart
Video,No budget,"Mark Hartley,Richard Evans,Mark Hartley",Mark Hartley,30m,"Documentary,Short,Crime",English,,21,United States,2006,No Popularity Score,,Mark Hartley,7.5,"The Pyjama Girl Mystery: A True Story of Murder, Obsession and Lies"
1930,No budget,"George Fitzmaurice,Harry d'Abbadie d'Arrast,E.W. Hornung",George Fitzmaurice,0,"Adventure,Crime,Drama",English,,1.1K,United States,1h 12m,No Popularity Score,"July 21, 1933",George Fitzmaurice,6.4,Raffles
2022,No budget,"Alexandre O. Philippe,Alexandre O. Philippe,Stars",Alexandre O. Philippe,0,Documentary,English,,1K,United States,1h 48m,No Popularity Score,"September 4, 2022",Alexandre O. Philippe,6.9,Lynch/Oz
Video,No budget,"Sean Buckley,Jeff Szpirglas,Tracy Hogg",Sean Buckley,0,Family,English,,0,Canada,2001,No Popularity Score,,Sean Buckley,0.0,"The Baby Whisperer, Vol. 1"
2006,No budget,"Guy Maddin,Guy Maddin,Louis Negin",Guy Maddin,1h 35m,"Comedy,Drama,Fantasy",English,,3.7K,United States,Not Rated,No Popularity Score,"May 17, 2007",Guy Maddin,7.3,Brand Upon the Brain!
1993,No budget,"Björn Runge,Björn Runge,Stars",Björn Runge,0,"Drama,Short",No Language,,28,Sweden,10m,No Popularity Score,,Björn Runge,5.6,En dag på stranden
1963,No budget,"Tarun Majumdar,Dilip Mukherjee,Sachin Mukherjee",Tarun Majumdar,2h 13m,Drama,Bengali,,148,India,Not Rated,No Popularity Score,,Tarun Majumdar,8.1,Palatak
2006,No budget,"Ronny Yu,Chris Chow,Richard Epcar",Ronny Yu,1h 44m,"Action,Biography,Drama","Mandarin,Japanese,English",,79K,"China,Hong Kong,United States",PG-13,No Popularity Score,"September 6, 2006",Ronny Yu,7.6,Fearless
2002,"$31,000,000 (estimated)","Yimou Zhang,Feng Li,Yimou Zhang",Yimou Zhang,2h,"Action,Adventure,Drama",Mandarin,,187K,"Hong Kong,China",PG-13,"3,972","March 15, 2003",Yimou Zhang,7.9,Hero
1982,"CN¥1,200,000 (estimated)","Hsin-Yen Chang,Hau Sit,Shau-Chang Lu",Hsin-Yen Chang,1h 40m,"Action,Comedy,Drama",Mandarin,,4.7K,"China,Hong Kong",Not Rated,No Popularity Score,"July 25, 1990",Hsin-Yen Chang,6.8,The Shaolin Temple
1957,"$3,000,000 (estimated)","David Lean,Pierre Boulle,Carl Foreman",David Lean,2h 41m,"Adventure,Drama,War","English,Japanese,Thai",,233K,United Kingdom,PG,"3,250","December 20, 1957",David Lean,8.1,The Bridge on the River Kwai
1953,No budget,"Henri-Georges Clouzot,Georges Arnaud,Henri-Georges Clouzot",Henri-Georges Clouzot,2h 11m,"Adventure,Drama,Thriller","French,English,Spanish,German,Italian,Russian",,66K,"France,Italy",Not Rated,"3,747","April 15, 1953",Henri-Georges Clouzot,8.2,The Wages of Fear
TV Movie,No budget,"Luke Jeans,Stars,Stephanie Beacham",Luke Jeans,1h,Documentary,English,,15,United Kingdom,1996,No Popularity Score,,Luke Jeans,7.0,In Search of Dracula with Jonathan Ross
1944,No budget,"Reginald Le Borg,Writers,Griffin Jay",Reginald Le Borg,1h 1m,"Fantasy,Horror",English,,3.4K,United States,Passed,No Popularity Score,"July 18, 1952",Reginald Le Borg,5.6,The Mummy's Ghost
1967,No budget,"Harald Reinl,Manfred R. Köhler,Edgar Allan Poe",Harald Reinl,1h 24m,"Horror,Mystery",German,,2.6K,West Germany,M,No Popularity Score,"March 5, 1969",Harald Reinl,5.9,The Torture Chamber of Dr. Sadism
1987,No budget,"Tim Ferrante,Tim Ferrante,Stars",Tim Ferrante,1h 22m,Documentary,English,,113,United States,Not Rated,No Popularity Score,,Tim Ferrante,5.8,Drive-in Madness!
2022,"$16,000,000 (estimated)","Luca Guadagnino,David Kajganich,Camille DeAngelis",Luca Guadagnino,2h 11m,"Drama,Horror,Romance",English,,57K,"Italy,United States",R,656,"November 23, 2022",Luca Guadagnino,6.8,Bones and All
1990,"$20,000,000 (estimated)","Tim Burton,Writers,Tim Burton",Tim Burton,1h 45m,"Drama,Fantasy,Romance",English,,522K,United States,PG-13,"1,176","April 10, 1991",Tim Burton,7.9,Edward Scissorhands
TV Movie,No budget,"Andrew Chaplin,Ivan Gonzalez,Max Olesker",Andrew Chaplin,0,"Documentary,Comedy",English,,12,United Kingdom,2013,No Popularity Score,,Andrew Chaplin,6.3,Great MoVie Mistakes
1997,"$12,000,000 (estimated)","Sammo Kam-Bo Hung,Writers,Cheuk-Hon Szeto",Sammo Kam-Bo Hung,1h 42m,"Action,Adventure,History","Mandarin,English,Cantonese",,4.3K,Hong Kong,Not Rated,No Popularity Score,"November 8, 2000",Sammo Kam-Bo Hung,6.3,Once Upon a Time in China and America
1946,No budget,"Jules White,Clyde Bruckman,Stars",Jules White,0,"Comedy,Short",English,,433,United States,17m,No Popularity Score,,Jules White,7.1,Uncivil War Birds
1935,No budget,"Del Lord,Andrew Bennison,Stars",Del Lord,19m,"Comedy,Short",English,,722,United States,Approved,No Popularity Score,,Del Lord,7.5,Pardon My Scotch
2007,"$50,000,000 (estimated)","Tim Burton,John Logan,Hugh Wheeler",Tim Burton,1h 56m,"Drama,Horror,Musical","English,Italian",,386K,"United States,United Kingdom",R,"1,324","January 16, 2008",Tim Burton,7.3,Sweeney Todd: The Demon Barber of Fleet Street
TV Short,No budget,"Chris Cranner,Stars,Jay Hernandez",Chris Cranner,TV-14,Short,English,,0,United States,2018,No Popularity Score,,Chris Cranner,0.0,CBS Fall Preview
Video,No budget,"Leon Siciliano,Lloyd Davies,Leon Siciliano",Leon Siciliano,22m,"Documentary,Short,Action",English,,0,United States,2020,No Popularity Score,,Leon Siciliano,0.0,Special Forces Bomb Disposal Expert Rates 10 Bomb Disposal Scenes in Movies
1981,No budget,"Kevin Burns,Kevin Burns",Kevin Burns,0,"Documentary,Short",English,,57,United States,23m,No Popularity Score,,Kevin Burns,6.8,I Remember Barbra
1996,"$80,000,000 (estimated)","Ron Howard,Writers,Cyril Hume",Ron Howard,2h 1m,"Action,Crime,Thriller",English,,135K,United States,R,No Popularity Score,"January 22, 1997",Ron Howard,6.7,Ransom
2011,No budget,"Robert Fischer,Robert Fischer,Maximilian Schell",Robert Fischer,0,"Documentary,Short",German,,0,Germany,28m,No Popularity Score,,Robert Fischer,0.0,Schach mit Dürrenmatt: Maximilian Schell über 'Der Richter und sein Henker'
Video,No budget,"Jake West,Stars,Fredric Abbott",Jake West,25m,"Documentary,Short",English,,0,United Kingdom,2015,No Popularity Score,,Jake West,0.0,Inside the Tower
1972,"$400,000 (estimated)","Jim O'Connolly,George Baxt,Jim O'Connolly",Jim O'Connolly,1h 29m,"Horror,Mystery,Thriller",English,,1.9K,United Kingdom,R,No Popularity Score,"June 14, 1973",Jim O'Connolly,5.6,Tower of Evil
1980,"$1,000,000 (estimated)","John Carpenter,John Carpenter,Debra Hill",John Carpenter,1h 29m,"Horror,Thriller",English,,83K,United States,R,"4,188",January 1980,John Carpenter,6.8,The Fog
1962,No budget,"Terence Fisher,Arthur Conan Doyle,Curt Siodmak",Terence Fisher,0,"Crime,Drama,Mystery",German,,1.2K,"West Germany,France,Italy",1h 24m,No Popularity Score,"May 20, 1964",Terence Fisher,5.4,Sherlock Holmes and the Deadly Necklace
1937,No budget,"Rowland V. Lee,Writers,Frank Vosper",Rowland V. Lee,1h 26m,"Drama,Mystery,Romance",English,,624,United Kingdom,Approved,No Popularity Score,"March 12, 1937",Rowland V. Lee,6.5,A Night of Terror
Video,No budget,"Stars,Alexis Fawx,Anya Olsen",Stars,2h 59m,"Adult,Drama,Romance",English,,0,United States,2017,No Popularity Score,,Stars,0.0,Lesbian Seductions 58
1909,No budget,"Wilkie Collins,Wilkie Collins",Wilkie Collins,0,"Short,Drama","None,English",,0,United States,No Pegi,No Popularity Score,,Wilkie Collins,0.0,The Moonstone
1983,"$7,500,000 (estimated)","Pete Walker,Michael Armstrong,Earl Derr Biggers",Pete Walker,1h 40m,"Comedy,Horror,Mystery",English,,4.6K,United Kingdom,PG,No Popularity Score,January 1983,Pete Walker,6.2,House of the Long Shadows
TV Movie,No budget,"Jim Wynorski,Jim Wynorski,Stars",Jim Wynorski,TV-MA,"Comedy,Thriller",English,,271,United States,2013,No Popularity Score,,Jim Wynorski,4.4,Sexy Wives Sinsations
TV Movie,No budget,"Stars,Jeff Probst,Colby Donaldson",Stars,0,Documentary,English,,0,United States,2001,No Popularity Score,,Stars,0.0,CBS Sneak Peek
2024,"$50,000,000 (estimated)","Rupert Sanders,Writers,James O'Barr",Rupert Sanders,0,"Action,Crime,Fantasy",English,,0,"United Kingdom,France,United States",No Pegi,26,"June 5, 2024",Rupert Sanders,0.0,The Crow
1934,No budget,"Dave Fleischer,Myron Waldman,Jack Mercer",Dave Fleischer,0,"Animation,Short,Comedy",English,,161,United States,7m,No Popularity Score,,Dave Fleischer,6.5,Betty Boop's Trial
1939,No budget,"Robert Carlisle,Gayne Whitman,Gayne Whitman",Robert Carlisle,11m,"Documentary,Short",English,,20,United States,Approved,No Popularity Score,,Robert Carlisle,6.7,Popular Science
TV Movie,No budget,"Mark Lamberti,Leonard Maltin,Max Fleischer",Mark Lamberti,1h 34m,"Documentary,History",English,,9,United States,1992,No Popularity Score,,Mark Lamberti,8.9,Cartoon Madness: The Fantastic Max Fleischer Cartoons
2012,No budget,"Oren Moverman,Stars,James Ellroy",Oren Moverman,0,"Documentary,Short",English,,0,United Kingdom,29m,No Popularity Score,,Oren Moverman,0.0,Rampart - Behind the Scenes
2011,"$12,000,000 (estimated)","Oren Moverman,James Ellroy,Oren Moverman",Oren Moverman,1h 48m,"Crime,Drama",English,,25K,United States,R,No Popularity Score,"July 3, 2013",Oren Moverman,5.8,Rampart
TV Special,No budget,"Geraldine Dowd,Yemisi Brookes,Jim Pullin",Geraldine Dowd,2h,No kind,English,,58,United Kingdom,2009,No Popularity Score,,Geraldine Dowd,6.7,The Orange British Academy Film Awards
1954,No budget,"Don Siegel,Collier Young,Ida Lupino",Don Siegel,1h 21m,"Crime,Drama,Film-Noir",English,,1.8K,United States,Passed,No Popularity Score,"August 31, 1955",Don Siegel,6.7,Private Hell 36
1975,"$350,000 (estimated)","Joan Micklin Silver,Joan Micklin Silver,Abraham Cahan",Joan Micklin Silver,1h 29m,"Drama,Romance","English,Yiddish",,1.9K,United States,PG,No Popularity Score,"May 11, 1975",Joan Micklin Silver,7.0,Hester Street
1954,No budget,"Michael Curtiz,Norman Krasna,Norman Panama",Michael Curtiz,2h,"Comedy,Musical,Romance",English,,51K,United States,Not Rated,No Popularity Score,"December 22, 1954",Michael Curtiz,7.5,White Christmas
1955,No budget,"Fred F. Sears,Jack DeWitt,Caryl Chessman",Fred F. Sears,1h 17m,"Biography,Crime,Drama",English,,478,United States,Approved,No Popularity Score,"July 6, 1955",Fred F. Sears,6.4,"Cell 2455, Death Row"
1949,No budget,"Laslo Benedek,Writers,Eugene Ling",Laslo Benedek,1h 22m,"Crime,Drama,Film-Noir",English,,1.1K,United States,Approved,No Popularity Score,"April 25, 1951",Laslo Benedek,6.0,Port of New York
1973,"$4,000,000 (estimated)","Richard Fleischer,Stanley R. Greenberg,Harry Harrison",Richard Fleischer,1h 37m,"Crime,Mystery,Sci-Fi","English,Spanish,Hebrew",,70K,United States,PG,"3,152",January 1974,Richard Fleischer,7.0,Soylent Green
1978,"$3,500,000 (estimated)","Philip Kaufman,W.D. Richter,Jack Finney",Philip Kaufman,1h 55m,"Horror,Sci-Fi","English,French",,70K,United States,PG,"2,778",January 1979,Philip Kaufman,7.4,Invasion of the Body Snatchers
1943,No budget,"Zoltan Korda,Writers,John Howard Lawson",Zoltan Korda,1h 37m,"Action,Drama,War","English,German,Italian,French",,9.7K,United States,Approved,No Popularity Score,"October 1, 1945",Zoltan Korda,7.5,Sahara
1940,No budget,"Ernest B. Schoedsack,Tom Kilpatrick,Malcolm Stuart Boylan",Ernest B. Schoedsack,1h 17m,"Adventure,Drama,Horror",English,,2.9K,United States,Passed,No Popularity Score,"May 1, 1953",Ernest B. Schoedsack,6.4,Dr. Cyclops
1960,No budget,"Budd Boetticher,Burt Kennedy,Stars",Budd Boetticher,1h 13m,"Drama,Western","English,Indian Sign Language,North American Indian",,4.4K,United States,Approved,No Popularity Score,,Budd Boetticher,7.0,Comanche Station
2021,"$10,000,000 (estimated)","Sian Heder,Writers,Sian Heder",Sian Heder,1h 51m,"Comedy,Drama,Music","American Sign Language,English",,164K,"France,Canada,United States",PG-13,528,"August 13, 2021",Sian Heder,8.0,CODA
1982,No budget,"José Ramón Larraz,José Ramón Larraz,Stars",José Ramón Larraz,1h 24m,"Drama,Horror,Mystery","Spanish,Latin",,1.2K,Spain,Not Rated,No Popularity Score,"April 6, 2023",José Ramón Larraz,4.8,Los ritos sexuales del diablo
1972,No budget,"Jean Rollin,Jean Rollin,Stars",Jean Rollin,1h 5m,Horror,French,,2.2K,France,R,No Popularity Score,"April 30, 1972",Jean Rollin,5.3,Requiem for a Vampire
2002,No budget,"Martin Arnold,Martin Arnold,Martin Arnold",Martin Arnold,0,"Comedy,Horror",English,,39,Austria,1h,No Popularity Score,,Martin Arnold,7.6,Deanimated
2013,"$160,000,000 (estimated)","Justin Lin,Chris Morgan,Gary Scott Thompson",Justin Lin,2h 10m,"Action,Crime,Thriller","English,Spanish,Russian,Japanese,Cantonese,Dutch,Danish,Ukrainian",,416K,"United States,Japan,Spain",PG-13,"2,411","May 22, 2013",Justin Lin,7.0,Fast & Furious 6
1963,"$150,000 (estimated)","Roger Corman,R. Wright Campbell,Stars",Roger Corman,1h 24m,"Action,Drama",English,,341,United States,Not Rated,No Popularity Score,"January 14, 1966",Roger Corman,4.9,The Young Racers
1978,No budget,"Yannick Bellon,Yannick Bellon,Stars",Yannick Bellon,0,Drama,French,,254,"France,Belgium",1h 55m,No Popularity Score,"January 11, 1978",Yannick Bellon,6.5,Rape of Love
1959,"$2,000,000 (estimated)","Joseph M. Newman,Writers,Irwin Allen",Joseph M. Newman,1h 49m,"Drama,Romance",English,,850,United States,Approved,No Popularity Score,"December 16, 1959",Joseph M. Newman,6.2,The Big Circus
2013,No budget,"Lloyd Kaufman,Writers,Travis Campbell",Lloyd Kaufman,1h 25m,"Action,Comedy,Drama",English,,2.3K,United States,Not Rated,No Popularity Score,"May 16, 2013",Lloyd Kaufman,5.3,Return to Nuke 'Em High Volume 1
2007,"$20,000,000 (estimated)","Jason Friedberg,Aaron Seltzer,Jason Friedberg",Jason Friedberg,1h 26m,"Adventure,Comedy,Fantasy",English,,109K,United States,PG-13,"4,709","April 4, 2007",Jason Friedberg,2.4,Epic Movie
2008,"$30,000,000 (estimated)","Anne Fletcher,Aline Brosh McKenna,Stars",Anne Fletcher,1h 51m,"Comedy,Romance",English,,174K,United States,PG-13,"1,341","April 23, 2008",Anne Fletcher,6.1,27 Dresses
1992,"$10,000,000 (estimated)","Dwight H. Little,Writers,Cindy Cirile",Dwight H. Little,1h 35m,"Action,Crime,Drama","English,Cantonese",,10K,United States,R,No Popularity Score,"April 28, 1993",Dwight H. Little,6.3,Rapid Fire
2022,No budget,"Veronica Ngo,Writers,Vo Nguyen Dan",Veronica Ngo,1h 49m,"Action,Crime,Thriller",Vietnamese,,1.4K,Vietnam,TV-MA,No Popularity Score,"March 23, 2023",Veronica Ngo,5.8,Furies
1984,"$8,000,000 (estimated)","John G. Avildsen,Robert Mark Kamen,Stars",John G. Avildsen,2h 6m,"Action,Drama,Family","English,Japanese",,244K,United States,PG,985,"September 26, 1984",John G. Avildsen,7.3,The Karate Kid
2021,"$1,100,000 (estimated)","Sean Baker,Sean Baker,Chris Bergoch",Sean Baker,2h 10m,"Comedy,Drama",English,,33K,United States,R,"2,247","July 14, 2021",Sean Baker,7.1,Red Rocket
2004,No budget,"Michelangelo Antonioni,Steven Soderbergh,Kar-Wai Wong",Michelangelo Antonioni,1h 44m,"Drama,Romance","Mandarin,English,Italian",,7.3K,"United Kingdom,France,Italy,Hong Kong,Luxembourg,United States",R,No Popularity Score,"June 30, 2005",Michelangelo Antonioni,5.9,Eros
2004,No budget,"Kar-Wai Wong,Stars,Chang Chen",Kar-Wai Wong,0,"Drama,Romance",No Language,,836,No Country,56m,No Popularity Score,"December 20, 2023",Kar-Wai Wong,7.4,The Hand
2016,No budget,"Louise Osmond,Stars,Ken Loach",Louise Osmond,0,Documentary,English,,503,United Kingdom,1h 33m,No Popularity Score,"October 26, 2016",Louise Osmond,7.2,Versus: The Life and Films of Ken Loach
2002,"$2,000,000 (estimated)","Neil Marshall,Neil Marshall,Stars",Neil Marshall,1h 45m,"Action,Horror,Thriller",English,,65K,"United Kingdom,Luxembourg",R,"3,744","August 14, 2002",Neil Marshall,6.8,Dog Soldiers
TV Movie,No budget,"Steven C. Smith,Stars,Valerie Spencer",Steven C. Smith,TV-MA,Documentary,English,,388,United States,2008,No Popularity Score,,Steven C. Smith,7.4,"Thou Shalt Not: Sex, Sin and Censorship in Pre-Code Hollywood"
1983,"$11,000,000 (estimated)","Ron Howard,Writers,Brian Grazer",Ron Howard,1h 51m,"Comedy,Fantasy,Romance","English,Swedish",,83K,United States,PG,"2,560","October 24, 1984",Ron Howard,6.3,Splash
2014,"NOK 25,000,000 (estimated)","Hallvard Bræin,Linn-Jeanethe Kyed,Christopher Grøndahl",Hallvard Bræin,0,"Action,Comedy",Norwegian,,5.2K,Norway,1h 29m,No Popularity Score,"March 18, 2017",Hallvard Bræin,6.2,Børning
TV Special,No budget,"Andreas Diesen,Writers,Benny Borg",Andreas Diesen,58m,Documentary,Norwegian,,0,Norway,2009,No Popularity Score,,Andreas Diesen,0.0,Grethe Kausland: Man må være på orntli'
1997,"$5,000,000 (estimated)","Robert Duvall,Robert Duvall,Stars",Robert Duvall,2h 14m,Drama,English,,15K,United States,PG-13,No Popularity Score,May 1998,Robert Duvall,7.2,The Apostle
1999,No budget,"Nuri Bilge Ceylan,Nuri Bilge Ceylan,Stars",Nuri Bilge Ceylan,0,"Comedy,Drama",Turkish,,6.7K,Turkey,2h 10m,No Popularity Score,"March 21, 2001",Nuri Bilge Ceylan,7.3,Clouds of May
Video,No budget,"Erik Richter Strand,Kjersti Helen Rasmussen,Gunnar Staalesen",Erik Richter Strand,1h 26m,"Crime,Drama,Thriller",Norwegian,,1.6K,"Norway,Denmark",2008,No Popularity Score,"March 19, 2009",Erik Richter Strand,6.3,Varg Veum - Din til døden
2002,"$35,000,000 (estimated)","Roman Polanski,Ronald Harwood,Wladyslaw Szpilman",Roman Polanski,2h 30m,"Biography,Drama,Music","English,German,Russian",,908K,"France,Poland,Germany,United Kingdom,United States",R,641,"May 24, 2002",Roman Polanski,8.5,The Pianist
2008,"$75,000,000 (estimated)","Bryan Singer,Christopher McQuarrie,Nathan Alexander",Bryan Singer,2h 1m,"Drama,History,Thriller","English,German",,259K,"United States,Germany,Italy,Spain,France,Japan,United Kingdom",PG-13,"2,947","January 28, 2009",Bryan Singer,7.1,Valkyrie
Video,No budget,"Stars,Hans Alfredson,Gösta Ekman",Stars,59m,Documentary,Swedish,,16,Sweden,2006,No Popularity Score,,Stars,6.3,Svenska Ord i bild och tal
2003,No budget,"Björne Larson,Alexander Skarsgård,Stig Dagerman",Björne Larson,0,"Short,Drama",Swedish,,457,Sweden,8m,No Popularity Score,,Björne Larson,6.4,Att döda ett barn
2007,No budget,"Ole Bornedal,Ole Bornedal,Stars",Ole Bornedal,1h 40m,"Crime,Drama,Thriller",Danish,,5K,Denmark,Not Rated,No Popularity Score,"March 19, 2009",Ole Bornedal,7.2,Just Another Love Story
1984,No budget,"Jannik Hastrup,Bent Haller,Jannik Hastrup",Jannik Hastrup,59m,"Animation,Family,Romance",Danish,,859,"Denmark,Sweden",Not Rated,No Popularity Score,"July 12, 1985",Jannik Hastrup,7.0,Samson & Sally
1998,"$4,500,000 (estimated)","Larry Clark,Eddie Little,Christopher Landon",Larry Clark,1h 41m,"Crime,Drama,Thriller",English,,9.2K,United States,R,No Popularity Score,"June 16, 1999",Larry Clark,6.5,Another Day in Paradise
2015,No budget,"Shinsuke Sato,Kengo Hanazawa,Akiko Nogi",Shinsuke Sato,2h 6m,"Action,Comedy,Horror",Japanese,,7.7K,Japan,TV-MA,No Popularity Score,"March 12, 2016",Shinsuke Sato,6.7,I Am a Hero
Video,No budget,"Ming-Na Wen,Alec Baldwin,Ming-Na Wen",Ming-Na Wen,Unrated,"Short,Animation,Fantasy",English,,173,United States,2001,No Popularity Score,,Ming-Na Wen,6.1,Final Fantasy: The Spirits Within: Aki's Dream
1988,No budget,"Charles Band,Danny Bilson,Paul De Meo",Charles Band,24m,"Short,Sci-Fi",English,,400,United States,Not Rated,No Popularity Score,,Charles Band,6.2,Trancers: City of Lost Angels
1982,No budget,"Michele Emmer,Edwin A. Abbott,Michele Emmer",Michele Emmer,0,"Animation,Short",No Language,,37,Italy,22m,No Popularity Score,,Michele Emmer,6.9,Flatland
1976,No budget,"Michael Pataki,Frank Ray Perilli,Stars",Michael Pataki,1h 27m,"Horror,Thriller",English,,1.2K,United States,R,No Popularity Score,March 1977,Michael Pataki,5.4,Mansion of the Doomed
TV Movie,No budget,"Peter Buchka,Peter Buchka,Werner Herzog",Peter Buchka,59m,Documentary,German,,43,West Germany,1989,No Popularity Score,,Peter Buchka,6.8,To the End of the World... and Then a Little Bit Further
1999,No budget,"Werner Herzog,Werner Herzog,Stars",Werner Herzog,1h 35m,"Documentary,Biography","German,English,Spanish",,12K,"Germany,United Kingdom,France,Finland",Not Rated,No Popularity Score,"May 17, 1999",Werner Herzog,7.8,My Best Fiend
1961,No budget,"Akira Kurosawa,Writers,Akira Kurosawa",Akira Kurosawa,1h 50m,"Action,Drama,Thriller",Japanese,,131K,Japan,Not Rated,"4,527","March 9, 2016",Akira Kurosawa,8.2,Yojimbo
Video,No budget,"Robert Fischer,Lars-Martin Sorenson,Robert Fischer",Robert Fischer,25m,"Documentary,Short",English,,10,United States,2007,No Popularity Score,,Robert Fischer,5.9,Kurosawa and the Censors
1992,"$31,000,000 (estimated)","Richard Attenborough,Writers,David Robinson",Richard Attenborough,2h 23m,"Biography,Comedy,Drama","English,Italian,German",,62K,"United Kingdom,France,Italy,Japan,United States",PG-13,"2,471","February 17, 1993",Richard Attenborough,7.5,Chaplin
1948,No budget,"Akira Kurosawa,Keinosuke Uekusa,Akira Kurosawa",Akira Kurosawa,1h 42m,"Crime,Drama,Romance",Japanese,,13K,Japan,Not Rated,No Popularity Score,"February 6, 1991",Akira Kurosawa,7.6,Drunken Angel
1982,No budget,"Boaz Davidson,Boaz Davidson,Eli Tavor",Boaz Davidson,1h 40m,"Comedy,Drama,Romance",Hebrew,,1.4K,"Israel,West Germany",R,No Popularity Score,"December 7, 1983",Boaz Davidson,5.3,Private Popsicle
1957,No budget,"Cy Endfield,Writers,John Kruse",Cy Endfield,1h 31m,"Crime,Drama,Film-Noir",English,,4K,United Kingdom,Approved,No Popularity Score,"September 21, 1957",Cy Endfield,7.2,Hell Drivers
1931,No budget,"Archie Mayo,Writers,George L. Du Maurier",Archie Mayo,1h 21m,"Drama,Horror,Romance","English,French,Italian,German",,2.5K,United States,Approved,No Popularity Score,"April 21, 1933",Archie Mayo,6.8,Svengali
1943,No budget,"Maurice Tourneur,Writers,Jean-Paul Le Chanois",Maurice Tourneur,1h 20m,"Fantasy,Horror",French,,1.8K,France,Approved,No Popularity Score,"April 21, 1943",Maurice Tourneur,7.3,Carnival of Sinners
