actors,director,entrees_fr,entrees_usa,image_urls,nationalite,semaine_fr,semaine_usa,studio,timing,title,titre_original
"Nicolas Cage,Julianne Nicholson,Jessica Clement","Kristoffer Borgli,Kristoffer Borgli",26466,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/10/27/12/45/4617947.jpg,u.s.a.,03/01/2024 au 10/01/2024,,metropolitan filmexport,0,dream scenario,pas de titre original
"Matt Damon,Adam Driver,Jodie Comer","Ridley Scott,Nicole Holofcener,Matt Damon",147221,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/07/20/19/32/2639242.jpg,u.s.a.,13/10/2021 au 20/10/2021,,the walt disney company france,0,le dernier duel,the last duel
"Diane Kruger,Mathieu Kassovitz,Marta Nieto","Yann Gozlan,Yann Gozlan,Michel Fessler",100349,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/08/01/13/52/4599315.jpg,france,06/09/2023 au 13/09/2023,,snd,0,visions,pas de titre original
"Thierry Lhermitte,Ramzy Bedia,François-Xavier Demaison","Audrey Dana,Claire Barré,Audrey Dana",102659,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/12/06/10/29/3281222.jpg,france,25 mai au 1 juin 2022,,warner bros. france,0,hommes au bord de la crise de nerfs,pas de titre original
"Lou de Laâge,Valérie Lemercier,Melvil Poupaud","Woody Allen,Woody Allen",72623,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/06/09/08/0699568.jpg,grande-bretagne,27 septembre au 4 octobre 2023,,metropolitan filmexport,0,coup de chance,pas de titre original
"Lambert Wilson,Grégory Gadebois,Marie Gillain","Eric Besnard,Eric Besnard",222130,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/01/06/11/02/4095028.jpg,france,22 février au 1 mars 2023,,snd,0,les choses simples,pas de titre original
"Alain Chabat,Léa Drucker,Benoît Magimel","Quentin Dupieux,Quentin Dupieux",133330,,https://fr.web.img5.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/22/05/03/17/34/3297382.jpg,france,15/06/2022 au 22/06/2022,,diaphana distribution,0,incroyable mais vrai,pas de titre original
"François Damiens,William Lebghil,Laura Felpin","Cecilia Rouaud,Cecilia Rouaud",72930,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/02/08/11/38/0974783.jpg,france,12/04/2023 au 19/04/2023,,snd,0,les complices,pas de titre original
,"Pablo Berger,Pablo Berger",13872,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/20/14/11/5859564.jpg,espagne,03/01/2024 au 10/01/2024,,wild bunch distribution,0,mon ami robot,robot dreams
"Virginie Efira,Romain Duris,Grégory Gadebois","Regis Roinsard,Romain Compingt,Regis Roinsard",228476,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/09/22/17/26/2396678.jpg,france,05/01/2022 au 12/01/2022,,studiocanal,0,en attendant bojangles,pas de titre original
,"An Vrombaut,Marion Jamault,Cedric Igodt",466,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/02/13/16/12/5552289.jpg,france,27 mars au 3 avril 2024,,les films du whippet,0,les fées sorcières,pas de titre original
"Denis Podalydès,Jonathan Cohen,Stefan Crepon","Cédric Kahn,Cédric Kahn,Fanny Burdino",88397,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/08/09/30/4432840.jpg,france,10/01/2024 au 17/01/2024,,ad vitam,0,making of,pas de titre original
"Adèle Exarchopoulos,Alexandre Perrier,Mara Taquin","Emmanuel Marre,Julie Lecoustre,Emmanuel Marre,Julie Lecoustre",53656,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/02/11/15/59/0440387.jpg,france,02/03/2022 au 9/03/2022,,condor distribution,0,rien à foutre,pas de titre original
"Matthew McConaughey,Jenifer Bartoli,Reese Witherspoon","Garth Jennings,Christophe Lourdelet,Garth Jennings",1173587,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/11/16/13/58/5571803.jpg,u.s.a.,22/12/2021 au 29/12/2021,,universal pictures international france,0,tous en scène 2,sing 2
"Zabou Breitman,Pascal Elbé,Mélanie Bernier","Cécile Telerman,Cécile Telerman,Xavier Daugreilh",52377,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/03/28/14/01/2999489.jpg,france,26 avril au 3 mai 2023,,zinc film,0,ma langue au chat,pas de titre original
"Swann Arlaud,Mélanie Thierry,Denis Podalydès","Mathias Gokalp,Mathias Gokalp,Nadine Lamari",27911,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/03/08/14/38/4220685.jpg,france,05/04/2023 au 12/04/2023,,le pacte,0,l'établi,pas de titre original
"Gad Elmaleh,Régine Elmaleh,David Elmaleh","Gad Elmaleh,Gad Elmaleh,Benjamin Charbit",152695,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/23/13/14/1527673.jpg,france,16/11/2022 au 23/11/2022,,studiocanal,0,reste un peu,pas de titre original
"Lubna Azabal,Saleh Bakri,Ayoub Missioui","Maryam Touzani,Maryam Touzani",54381,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/02/16/16/26/1879683.jpg,france,22/03/2023 au 29/03/2023,,ad vitam,0,le bleu du caftan,pas de titre original
"Roschdy Zem,Anouk Grinberg,Noémie Merlant","Louis Garrel,Louis Garrel,Tanguy Viel",192906,,https://fr.web.img4.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/22/08/22/10/04/0086058.jpg,france,12/10/2022 au 19/10/2022,,ad vitam,0,l'innocent,pas de titre original
"Maria Lukyanova,Gela Chitava,Eldar Safikanov","Ilya Povolotsky,Ilya Povolotsky",3217,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/05/14/30/5951644.jpg,russie,24/01/2024 au 31/01/2024,,bodega films,0,la grâce,blazh
"Sabrina Levoye,Teïlo Azaïs,Jean-Pierre Lorit","Philippe Lioret,Philippe Lioret",41119,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/07/25/14/36/3169063.jpg,france,04/01/2023 au 11/01/2023,,paname distribution,0,16 ans,pas de titre original
"Cate Blanchett,Nina Hoss,Noémie Merlant","Todd Field,Todd Field",98869,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/01/17/54/2341594.jpg,u.s.a.,25 janvier au 1 février 2023,,universal pictures international france,0,tár,pas de titre original
"Lambert Wilson,Franck Dubosc,Guillaume De Tonquédec","Eric Lavaine,Eric Lavaine,Héctor Cabello Reyes",271193,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/07/19/12/35/2809678.jpg,france,26 octobre au 2 novembre 2022,,studiocanal,0,plancha,pas de titre original
"François Damiens,Salomé Dewaels,Roman Kolinka","Pierre Godeau,Pierre Godeau",28048,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/04/09/50/5520224.jpg,france,31 janvier au 7 février 2024,,pan distribution,0,sous le vent des marquises,pas de titre original
"Joaquin Phoenix,Nathan Lane,Amy Ryan","Ari Aster,Ari Aster",35019,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/04/05/11/32/2503739.jpg,u.s.a.,26 avril au 3 mai 2023,,arp sélection,0,beau is afraid,pas de titre original
"Karin Viard,Melvin Boomer,Steve Tientcheu","Jennifer Devoldere,Jennifer Devoldere,Cécile Sellam",279606,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/01/09/10/20/0046242.jpg,france,15/03/2023 au 22/03/2023,,warner bros. france,0,sage-homme,pas de titre original
"Léa Drucker,Benoît Poelvoorde,Alice Isaaz","Clovis Cornillac,Pierre Lemaitre",302030,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/21/12/16/1154054.jpg,france,09/11/2022 au 16/11/2022,,gaumont distribution,0,couleurs de l'incendie,pas de titre original
"Claire Pommet,Niels Schneider,Sofiane Zermani","Héléna Klotz,Héléna Klotz,Noé Debré",10199,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/10/24/11/17/4591516.jpg,france,22/11/2023 au 29/11/2023,,pyramide distribution,0,la vénus d'argent,pas de titre original
"Anne Hathaway,Jeremy Strong,Banks Repeta","James Gray,James Gray",155547,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/09/12/29/4467008.jpg,u.s.a.,09/11/2022 au 16/11/2022,,universal pictures international france,0,armageddon time,pas de titre original
"Hugh Jackman,Laura Dern,Vanessa Kirby","Florian Zeller,Florian Zeller,Christopher Hampton",102272,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/12/14/14/39/4249231.jpg,france,01/03/2023 au 8/03/2023,,orange studio distribution / ugc distribution,0,the son,pas de titre original
"Laure Calamy,Zita Hanrot,India Hair","Blandine Lenoir,Blandine Lenoir,Axelle Ropert",68373,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/27/10/05/1362095.jpg,france,30 novembre au 7 décembre 2022,,diaphana distribution,0,annie colère,pas de titre original
"Patrick Borg,Masako Nozawa,Mark Lesser","Tetsuro Kodama,Akira Toriyama",218070,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/06/12/15/1536908.jpg,japon,05/10/2022 au 12/10/2022,,sony pictures releasing france,0,dragon ball super: super hero,pas de titre original
"Catherine Deneuve,Benoît Magimel,Gabriel Sara","Emmanuelle Bercot,Emmanuelle Bercot,Marcia Romano",90106,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/07/10/11/34/5008851.jpg,france,24 novembre au 1 décembre 2021,,studiocanal,0,de son vivant,pas de titre original
"Maud Wyler,Géraldine Nakache,Grégoire Colin","Beatrice Pollet,Beatrice Pollet",4869,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/23/15/29/2029698.jpg,france,08/03/2023 au 15/03/2023,,jour2fête,0,toi non plus tu n'as rien vu,pas de titre original
"Olivia Colman,Micheal Ward,Colin Firth","Sam Mendes,Sam Mendes",107051,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/06/10/13/1149195.jpg,grande-bretagne,01/03/2023 au 8/03/2023,,the walt disney company france,0,empire of light,pas de titre original
"Emilia Clarke,Chiwetel Ejiofor,Vinette Robinson","Sophie Barthes,Sophie Barthes",9440,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/10/05/10/04/0060431.jpg,u.s.a.,25 octobre au 1 novembre 2023,,jour2fête,0,the pod generation,pas de titre original
"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall","Adam Wingard,Eric Pearson,Max Borenstein",11600000,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/04/14/16/50/3258390.jpg,u.s.a.,02/04/2021 au 5/04/2021,,,0,godzilla vs kong,pas de titre original
"Franck Dubosc,Aure Atika,Swann Joulin","Ludovic Bernard,Mathieu Oullion",256753,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/01/18/12/02/4822931.jpg,france,12/04/2023 au 19/04/2023,,studiocanal,0,10 jours encore sans maman,pas de titre original
"Khaled Hamdan,Abeer Mohammed,Samah Alamrani","Amr Gamal,Amr Gamal,Mazen Refaat",7536,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/05/17/07/3563364.jpg,yemen,31 janvier au 7 février 2024,,paname distribution,0,les lueurs d'aden,al murhaqoon
"Bradley Cooper,Cate Blanchett,Toni Collette","Guillermo del Toro,Guillermo del Toro,Kim Morgan",142309,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/12/07/16/10/5664268.jpg,u.s.a.,19/01/2022 au 26/01/2022,,the walt disney company france,0,nightmare alley,pas de titre original
"Ari McCarthy,Hamish Phillips,Sunny Johnson","Danny Philippou,Michael Philippou,Danny Philippou,Bill Hinzman",187507,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/16/12/08/4453176.jpg,australie,26 juillet au 2 août 2023,,snd,0,la main,talk to me
"Daniel Craig,Edward Norton,Janelle Monáe","Rian Johnson,Rian Johnson",9400000,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/10/28/08/43/0906480.jpg,u.s.a.,25/11/2022 au 28/11/2022,,3 nominations,0,glass onion : une histoire à couteaux tirés,glass onion: a knives out mystery
"Virginie Efira,Roschdy Zem,Chiara Mastroianni","Rebecca Zlotowski,Rebecca Zlotowski",142402,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/08/04/17/31/4594115.jpg,france,21/09/2022 au 28/09/2022,,ad vitam,0,les enfants des autres,pas de titre original
"Liam Neeson,Noma Dumezweni,Lilly Aspell","Nimród Antal,Chris Salmanpour",124439,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/07/28/12/28/0982125.jpg,allemagne,23/08/2023 au 30/08/2023,,studiocanal,0,retribution,pas de titre original
"Stefano Cassetti,Manal Issa,Danil Vorobyev","Charles Guérin Surville,Charles Guérin Surville",260,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/05/10/14/43/2679144.jpg,france,20/09/2023 au 27/09/2023,,beabia films,0,follia,pas de titre original
"Ansel Elgort,Rachel Zegler,Ariana DeBose","Steven Spielberg,Tony Kushner",177526,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/11/05/16/42/2324146.jpg,u.s.a.,08/12/2021 au 15/12/2021,,the walt disney company france,0,west side story,pas de titre original
"Josh O'Connor,Carol Duarte,Isabella Rossellini","Alice Rohrwacher,Alice Rohrwacher",26496,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/10/26/11/22/0809644.jpg,france,06/12/2023 au 13/12/2023,,ad vitam,0,la chimère,la chimera
"Bob Odenkirk,Aleksey Serebryakov,Connie Nielsen","Ilya Naishuller,Derek Kolstad",80440,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/01/04/17/52/0328539.jpg,u.s.a.,02/06/2021 au 9/06/2021,,universal pictures international france,0,nobody,pas de titre original
"Vincent Lindon,Agathe Rousselle,Garance Marillier","Julia Ducournau,Julia Ducournau",88523,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/07/28/16/27/4449800.jpg,france,14/07/2021 au 21/07/2021,,diaphana distribution,0,titane,pas de titre original
"Gilles Lellouche,Pierre Niney,Emmanuelle Bercot","Frédéric Tellier,Frédéric Tellier,Simon Moutaïrou",267284,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/01/24/12/13/4677076.jpg,france,09/03/2022 au 16/03/2022,,studiocanal,0,goliath,pas de titre original
"Adam Driver,Ariana Greenblatt,Chloe Coleman","Scott Beck,Bryan Woods,Scott Beck,Bryan Woods",187043,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/01/04/13/05/2675074.jpg,u.s.a.,15/03/2023 au 22/03/2023,,sony pictures releasing france,0,65 - la terre d'avant,65
"Grégoire Ludig,David Marsais,Adèle Exarchopoulos","Quentin Dupieux,Quentin Dupieux",50543,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/05/03/14/42/3082289.jpg,france,26 mai au 2 juin 2021,,memento distribution,0,mandibules,pas de titre original
"Nanni Moretti,Margherita Buy,Silvio Orlando","Nanni Moretti,Francesca Marciano,Nanni Moretti",91786,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/18/12/24/2135618.jpg,italie,28 juin au 5 juillet 2023,,le pacte,0,vers un avenir radieux,il sol dell’avvenire
"Fabrice Luchini,Mara Taquin,Maud Wyler","Guillaume Nicloux,Fanny Chesnel,Guillaume Nicloux",206646,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/30/15/04/1967916.jpg,france,20/09/2023 au 27/09/2023,,snd,0,la petite,pas de titre original
"Gil-woo Kang,Ye-eun Kim,Yong-nyeo Lee","Jaebeom Park,Jaebeom Park",370,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/12/12/09/33/5587465.jpg,corée du sud,17/01/2024 au 24/01/2024,,survivance,0,krisha et le maître de la forêt,mother land
"Garance Marillier,Emilie Dequenne,Alban Lenoir","Virginie Verrier,Virginie Verrier",26273,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/04/20/11/18/0008162.jpg,france,07/06/2023 au 14/06/2023,,the jokers / les bookmakers,0,marinette,pas de titre original
"Laure Calamy,Vincent Elbaz,Suzanne de Baecque","Caroline Vignal,Caroline Vignal,Noémie De Lapparent",167511,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/20/10/50/5902027.jpg,france,03/01/2024 au 10/01/2024,,diaphana distribution,0,iris et les hommes,pas de titre original
"Michael B. Jordan,Jamie Foxx,Brie Larson","Destin Daniel Cretton,Andrew Lanham,Destin Daniel Cretton",113153,,https://fr.web.img5.acsta.net/c_310_420/pictures/20/01/14/09/12/0418204.jpg,u.s.a.,29 janvier au 5 février 2020,,warner bros. france,0,la voie de la justice,just mercy
"Maggie Smith,Laura Linney,Kathy Bates","Thaddeus O'Sullivan,Jimmy Smallhorne,Timothy Prager",11515,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/03/09/11/4918886.jpg,irlande,24/01/2024 au 31/01/2024,,saje distribution,0,le club des miracles,the miracle club
"Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang","Thomas Vinterberg,Tobias Lindholm,Thomas Vinterberg",114935,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/04/15/43/5215186.jpg,danemark,14/10/2020 au 21/10/2020,,haut et court,0,drunk,
"Leslie Odom Jr.,Ellen Burstyn,Ann Dowd","David Gordon Green,Peter Sattler,David Gordon Green",264818,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/08/23/17/06/5557233.jpg,u.s.a.,11/10/2023 au 18/10/2023,,universal pictures international france,0,l'exorciste - dévotion,the exorcist: believer
"Alice Isaaz,Niels Schneider,Rod Paradot","Romain Quirot,Romain Quirot",33659,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/02/14/14/23/4943067.jpg,belgique,29 mars au 5 avril 2023,,tandem,0,apaches,pas de titre original
"Nahuel Perez Biscayart,Céleste Brunnquell,Maud Wyler","Erwan Le Duc,Erwan Le Duc",31016,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/10/31/12/54/5976596.jpg,france,20/12/2023 au 27/12/2023,,pyramide distribution,0,la fille de son père,pas de titre original
"Lily Sullivan,Alyssa Sutherland,Morgan Davies","Lee Cronin,Lee Cronin",235926,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/01/04/10/01/0755697.jpg,u.s.a.,19/04/2023 au 26/04/2023,,metropolitan filmexport,0,evil dead rise,pas de titre original
"Paula Beer,Jannis Niewöhner,Katja Riemann","Kilian Riedhof,Marc Blöbaum,Jan Braren",19222,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/12/14/09/35/5786378.jpg,allemagne,17/01/2024 au 24/01/2024,,kinovista,0,"stella, une vie allemande",stella. ein leben.
"Yolande Moreau,Sergi López,Grégory Gadebois","Yolande Moreau,Yolande Moreau,Frédérique Moreau",62842,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/11/11/20/3361962.jpg,france,11/10/2023 au 18/10/2023,,le pacte,0,la fiancée du poète,pas de titre original
"Camille Timmerman,Stephanie Beatriz,José Garcia","Charise Castro Smith,Byron Howard,Jared Bush,Jared Bush,Charise Castro Smith",526906,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/09/29/10/15/0378531.jpg,u.s.a.,24 novembre au 1 décembre 2021,,the walt disney company france,0,"encanto, la fantastique famille madrigal",encanto
"Benoît Poelvoorde,Justine Lacroix,Joseph Rozé","Olivier Babinet,Olivier Babinet,Juliette Sales",12196,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/01/26/16/10/0868903.jpg,france,05/04/2023 au 12/04/2023,,haut et court,0,normale,pas de titre original
"Leïla Bekhti,Damien Bonnard,Gabriel Merz Chammah","Joachim Lafosse,Joachim Lafosse,Anne-Lise Morin",53677,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/08/04/17/11/0431021.jpg,belgique,29 septembre au 6 octobre 2021,,les films du losange,0,les intranquilles,pas de titre original
"George Clooney,Julia Roberts,Kaitlyn Dever","Ol Parker,Ol Parker,Daniel Pipski",176153,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/09/01/08/51/4910912.jpg,u.s.a.,05/10/2022 au 12/10/2022,,universal pictures international france,0,ticket to paradise,pas de titre original
"Lazare Herson-Macarel,Eric Herson-Macarel,Damien Boisseau","Patrick Imbert,Magali Pouzol,Patrick Imbert",49532,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/07/29/17/38/3976490.jpg,france,22/09/2021 au 29/09/2021,,wild bunch distribution,0,le sommet des dieux,pas de titre original
"Vincent Macaigne,Aïssa Maïga,Evelyne Istria","Andréa Bescond,Eric Métayer,Andréa Bescond,Eric Métayer",60109,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/03/02/15/22/1655938.jpg,france,26 avril au 3 mai 2023,,ad vitam,0,quand tu seras grand,pas de titre original
"Jean-Pascal Zadi,Caroline Anglade, Fary","Jean-Pascal Zadi,John Wax,Kamel Guemra,Jean-Pascal Zadi",255537,,https://fr.web.img5.acsta.net/c_310_420/pictures/20/03/03/12/19/2773827.jpg,france,08/07/2020 au 15/07/2020,,gaumont distribution,0,tout simplement noir,pas de titre original
"Riadh Belaïche,Marwan Amesker,Loubna Abidar","Sébastien Tulard,Cédric Ido",67974,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/11/09/02/3588720.jpg,france,22 février au 1 mars 2023,,bac films,0,à la belle étoile,pas de titre original
"Ariane Ascaride,Alain Ughetto","Alain Ughetto,Alain Ughetto,Alexis Galmot",41957,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/06/29/17/03/5057490.jpg,france,25 janvier au 1 février 2023,,gebeka films,0,interdit aux chiens et aux italiens,pas de titre original
"Tom Holland, Zendaya,Benedict Cumberbatch","Jon Watts,Chris McKenna,Erik Sommers",2867515,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/11/16/10/01/4860598.jpg,u.s.a.,15/12/2021 au 22/12/2021,,sony pictures releasing france,0,spider-man: no way home,pas de titre original
"Anouck Hautbois,Benjamin Bollen,Antoine Tomé","Jeremy Zag,Jeremy Zag,Bettina López Mendoza",660421,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/04/03/15/05/1583867.jpg,france,05/07/2023 au 12/07/2023,,snd,0,miraculous - le film,pas de titre original
"Vincent Lindon,Sandrine Kiberlain,Anthony Bajon","Stéphane Brizé,Stéphane Brizé,Oliver Gorce",195408,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/01/27/15/03/2294356.jpg,france,16/02/2022 au 23/02/2022,,diaphana distribution,0,un autre monde,pas de titre original
"Dennis Quaid,Colin Ford,Joelle Carter","Jeff Celentano,Angelo Pizzo,Scott Marshall Smith",2301931,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/07/11/10/23/1754114.jpg,u.s.a.,25/08/2023 au 28/08/2023,,,0,the hill,pas de titre original
"Soubin Shahir,Chandu Salimkumar,Sreenath Bhasi"," Chidambaram, Chidambaram",271,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/02/26/08/31/4046486.jpg,inde,06/03/2024 au 13/03/2024,,friday entertainment,0,manjummel boys,pas de titre original
"Emilie Rault,Kelly Marie Tran,Géraldine Nakache","Paul Briggs,Don Hall,John Ripa,Adele Lim,Qui Nguyen",8600000,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/05/11/10/35/1825655.jpg,u.s.a.,05/03/2021 au 8/03/2021,,the walt disney company france,0,raya et le dernier dragon,raya and the last dragon
"Zita Hanrot,Louise Chevillotte,Laure Giappiconi","Lucie Borleteau,Lucie Borleteau,Clara Bourreau",9758,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/03/08/10/28/4291260.jpg,france,05/04/2023 au 12/04/2023,,pyramide distribution,0,à mon seul désir,pas de titre original
" Artus,Elsa Zylberstein,Benjamin Tranié","Olivier Van Hoofstadt,Frédéric Jurie,Olivier Van Hoofstadt",100308,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/27/15/10/4186702.jpg,france,09/08/2023 au 16/08/2023,,ugc distribution / tf1 studio,0,veuillez nous excuser pour la gêne occasionnée,pas de titre original
"Gilles Lellouche,Mélanie Thierry","Thomas Bidegain,Thomas Bidegain,Valentine Monteil",116736,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/09/25/10/58/2824182.jpg,france,06/12/2023 au 13/12/2023,,studiocanal,0,soudain seuls,pas de titre original
"Emilie Lan Dürr,Florence Miailhe,Maxime Gémin","Florence Miailhe,Florence Miailhe,Marie Desplechin",5764,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/08/26/17/11/2861412.jpg,france,29 septembre au 6 octobre 2021,,gebeka films,0,la traversée,pas de titre original
"Michèle Laroque,Mohamed Belkhir,Guillaume Duhesme","Claude Zidi Jr.,Cyrille Droux,Raphaël Benoliel",126348,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/03/21/14/50/4272885.jpg,france,04/05/2022 au 11/05/2022,,studiocanal,0,ténor,pas de titre original
"Anna Castillo,Oriol Pla,Quim Ávila","Jaime Rosales,Jaime Rosales,Bárbara Díez",12386,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/06/09/35/1298646.jpg,espagne,02/08/2023 au 9/08/2023,,condor distribution,0,les tournesols sauvages,girasoles silvestres
"Isabelle Huppert,Grégory Gadebois,Yvan Attal","Jean-Paul Salomé,Fadette Drouard,Jean-Paul Salomé",192422,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/02/17/16/21/5693290.jpg,france,01/03/2023 au 8/03/2023,,le pacte,0,la syndicaliste,pas de titre original
"Ahmed Sylla,Mallory Wanecque,Julia Piaton","Ali Marhyar,Ali Marhyar,Julien Guetta",119238,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/11/09/14/15/0517030.jpg,france,17/01/2024 au 24/01/2024,,apollo films / orange studio,0,comme un prince,pas de titre original
"Emma Thompson,Daryl McCormack,Les Mabaleka","Sophie Hyde,Katy Brand",23381,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/22/17/33/5892631.jpg,grande-bretagne,30 novembre au 7 décembre 2022,,wild bunch distribution,0,mes rendez-vous avec leo,"good luck to you, leo grande"
"Joel Kinnaman,Kid Cudi,Catalina Sandino Moreno","John Woo,Robert Archer Lynn",3010207,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/10/05/15/02/3194513.jpg,u.s.a.,01/12/2023 au 4/12/2023,,,0,silent night,pas de titre original
"Karin Viard,Bruno Podalydès,Sabine Azéma","Bruno Podalydès,Bruno Podalydès",95610,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/05/12/11/43/2199838.jpg,france,07/06/2023 au 14/06/2023,,ugc distribution,0,wahou !,pas de titre original
"Chris Pratt,Bryce Dallas Howard,Laura Dern","Colin Trevorrow,Emily Carmichael,Colin Trevorrow",1299065,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/04/14/18/30/0040092.jpg,u.s.a.,08/06/2022 au 15/06/2022,,universal pictures international france,0,jurassic world: le monde d'après,jurassic world: dominion
Valmyr Pavard,"Hélène Ducrocq,Hélène Ducrocq,Jean-Pierre Poirel",163,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/28/12/25/4889824.jpg,france,07/02/2024 au 14/02/2024,,citron bien cinéma,0,roquette et les mal-aimés,pas de titre original
"Reda Kateb,Benoît Magimel,Meriem Amiar","Elias Belkeddar,Elias Belkeddar,Jérôme Pierrat",140144,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/04/14/42/2998308.jpg,france,24/05/2023 au 31/05/2023,,studiocanal,0,omar la fraise,pas de titre original
"Gerard Butler,Morena Baccarin,David Denman","Ric Roman Waugh,Chris Sparling",193402,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/25/16/30/0065268.jpg,u.s.a.,05/08/2020 au 12/08/2020,,metropolitan filmexport,0,greenland - le dernier refuge,greenland
