titre,score,nbre_vote,genres,langue,pays,pegi,duree,annee,popularite_score,director,scenaristes,casting_principal,casting_complet,budget
L'innocence,"7,9",20 k,"['Drame', 'Thriller']","['Japonais', 'Anglais']",['Japon'],Tous publics,2h 7min,2023,357,Kore-eda Hirokazu,Kore-eda Hirokazu,"['Kore-eda Hirokazu', 'Yûji Sakamoto', 'Casting principal']","['Sakura Andô', 'Eita Nagayama', 'Soya Kurokawa', 'Hinata Hiiragi', 'Mitsuki Takahata', 'Akihiro Kakuta', 'Shidô Nakamura', 'Yûko Tanaka']",['No budget']
DogMan,"6,7","9,8 k","['Policier', 'Drame', 'Thriller']","['Anglais', 'Espagnol']",['France'],Tous publics avec avertissement,1h 53min,2023,218,Luc Besson,Luc Besson,"['Luc Besson', 'Luc Besson', 'Casting principal']","['Caleb Landry Jones', 'Jojo T. Gibbs', 'Christopher Denham', 'Clemens Schick', 'John Charles Aguilar', 'Grace Palma', 'Iris Bry', 'Marisa Berenson', 'Lincoln Powell', 'Alexander Settineri', 'Michael Garza', 'Bianca Melgar', 'C.C. DeNeira', 'Joe Sheridan', 'Emeric Bernard-Jones', 'Kyran Peet', 'Cameron Alexander', 'Jérémy Finet']",21 000 000 $US (estimé)
The Flash,"6,7",209 k,"['Action', 'Aventure', 'Fantastique']",['Anglais'],"['États-Unis', 'Canada', 'Australie', 'Nouvelle-Zélande']",Tous publics,2h 24min,2023,202,Andy Muschietti,Andy Muschietti,"['Andy Muschietti', 'Scénario', 'Christina Hodson']","['Ezra Miller', 'Michael Keaton', 'Sasha Calle', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Jeremy Irons', 'Antje Traue', 'Saoirse-Monica Jackson', 'Rudy Mancuso', 'Temuera Morrison', 'Sanjeev Bhaskar', 'Sean Rogers', 'Kieran Hodgson', 'Luke Brandon Field', 'Ian Loh', 'Karl Collins']",200 000 000 $US (estimé)
Blue Summer,"6,0",60,"['Drame', 'Romantique']","['Mandarin', 'Coréen', 'Français']",['Chine'],Tous publics,1h 32min,2023,['No Popularity Score'],Zihan Geng,Zihan Geng,"['Zihan Geng', 'Zihan Geng', 'Yining Liu']","['Kay Huang', 'Jing Liang', 'Long Liang', 'Meijun Zhou']",['No budget']
La couleur pourpre,"6,9",14 k,"['Drame', 'Comédie Musicale']",['Anglais'],['États-Unis'],Tous publics,2h 21min,2023,677,Blitz Bazawule,Blitz Bazawule,"['Blitz Bazawule', 'Marcus Gardley', 'Alice Walker']","['Fantasia Barrino', 'Taraji P. Henson', 'Danielle Brooks', 'Colman Domingo', 'Corey Hawkins', 'Phylicia Pearl Mpasi', 'Halle Bailey', 'Ciara', 'H.E.R.', 'David Alan Grier', 'Deon Cole', 'Jon Batiste', 'Louis Gossett Jr.', 'Tamela J. Mann', 'Aunjanue Ellis-Taylor', 'Elizabeth Marvel', 'Stephen Hill', 'Adetinpo Thomas']",100 000 000 $US (estimé)
Race for Glory: Audi vs. Lancia,"5,8","2,3 k","['Biographique', 'Drame', 'Sport']","['Anglais', 'Italien', 'Allemand', 'Français', 'Grec']","['Italie', 'Royaume-Uni', 'Irlande']",R,1h 49min,2024,3 442,Stefano Mordini,Stefano Mordini,"['Stefano Mordini', 'Filippo Bologna', 'Stefano Mordini']","['Haley Bennett', 'Daniel Brühl', 'Riccardo Scamarcio', 'Volker Bruch', 'Katie Clarkson-Hill', 'Esther Garrel', 'Bruno Gouery', 'Jacopo Rampini', 'Kai Portman', 'Carlotta Verny', 'Axel Gallois', 'Giorgio Montanini', 'Giulio Brizzi', 'Gianmaria Martini', 'Andrea Ascolese', 'João Roncha', 'Ilir Jacellari', 'Gabriele Portoghese']",['No budget']
Amants,"5,5",1 k,"['Drame', 'Thriller']","['Français', 'Anglais']",['France'],Tous publics,1h 42min,2020,['No Popularity Score'],Nicole Garcia,Nicole Garcia,"['Nicole Garcia', 'Jacques Fieschi', 'Nicole Garcia']","['Pierre Niney', 'Stacy Martin', 'Benoît Magimel', 'Christophe Montenez', 'Nicolas Wanczycki', 'Grégoire Colin', 'Roxane Duran', 'Béleina Win', 'Daouda Diakhaté', 'Nadir Legrand', 'Yeelem Jappain', 'Laurent Dassault', 'Magne-Håvard Brekke', 'Ingrid Roumengas', 'Léonor Mira', 'Antonio Buíl', 'Marie-Anne Mestre', 'Julia Mugnier']",['No budget']
Aquaman et le royaume perdu,"5,6",79 k,"['Action', 'Aventure', 'Fantastique']",['Anglais'],"['États-Unis', 'Royaume-Uni', 'Canada', 'Australie', 'Islande']",Tous publics,2h 4min,2023,97,James Wan,James Wan,"['James Wan', 'Scénario', 'David Leslie Johnson-McGoldrick']","['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II', 'Amber Heard', 'Nicole Kidman', 'Randall Park', 'Temuera Morrison', 'Dolph Lundgren', 'Martin Short', 'Jani Zhao', 'Pilou Asbæk', 'Indya Moore', 'John Rhys-Davies', 'Vincent Regan', 'Jay McDonald', 'Tyler Burger', 'Maddox Cruz-Porter', 'River Ao Moemoea Green']",205 000 000 $US (estimé)
"The X-Files, le film: Combattre le futur","7,0",110 k,"['Drame', 'Mystère', 'Science-fiction']","['Anglais', 'Arabe']",['États-Unis'],Tous publics,2h 1min,1998,['No Popularity Score'],Rob Bowman,Rob Bowman,"['Rob Bowman', 'Scénario', 'Chris Carter']","['David Duchovny', 'Gillian Anderson', 'John Neville', 'William B. Davis', 'Martin Landau', 'Mitch Pileggi', 'Jeffrey DeMunn', 'Blythe Danner', ""Terry O'Quinn"", 'Armin Mueller-Stahl', 'Lucas Black', 'Christopher Fennell', 'Cody Newton', 'Blake Stokes', 'Dean Haglund', 'Bruce Harwood', 'Tom Braidwood', 'Don S. Williams']",66 000 000 $US (estimé)
Everything Everywhere All at Once,"7,8",530 k,"['Action', 'Aventure', 'Comédie']","['Anglais', 'Mandarin', 'Cantonais']",['États-Unis'],Tous publics,2h 19min,2022,166,Daniel Kwan,Daniel Kwan,"['Daniel Kwan', 'Daniel Scheinert', 'Daniel Kwan']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis', 'Ke Huy Quan', 'James Hong', 'Tallie Medel', 'Jenny Slate', 'Harry Shum Jr.', 'Biff Wiff', 'Sunita Mani', 'Aaron Lazar', 'Brian Le', 'Andy Le', 'Narayana Cabral', 'Chelsey Goldsmith', 'Craig Henningsen', 'Anthony Molinari', 'Dan Brown']",14 300 000 $US (estimé)
The Fabelmans,"7,5",116 k,['Drame'],['Anglais'],"['États-Unis', 'Inde']",Tous publics,2h 31min,2022,1 059,Steven Spielberg,Steven Spielberg,"['Steven Spielberg', 'Steven Spielberg', 'Tony Kushner']","['Michelle Williams', 'Gabriel LaBelle', 'Paul Dano', 'Judd Hirsch', 'Seth Rogen', 'Mateo Zoryan', 'Keeley Karsten', 'Alina Brace', 'Julia Butters', 'Birdie Borria', 'Sophia Kopera', 'Jeannie Berlin', 'Robin Bartlett', 'Sam Rechner', 'Oakes Fegley', 'Chloe East', 'Isabelle Kusman', 'Chandler Lovelle']",40 000 000 $US (estimé)
Le ravissement,"7,0",471,['Drame'],"['Français', 'Serbe']",['France'],Tous publics,1h 37min,2023,['No Popularity Score'],Iris Kaltenbäck,Iris Kaltenbäck,"['Iris Kaltenbäck', 'Naïla Guiguet', 'Iris Kaltenbäck']","['Hafsia Herzi', 'Alexis Manenti', 'Nina Meurisse', 'Younes Boucif', 'Radmila Karabatic', 'Dusko Badnjar', 'Ana Blagojevic', 'Grégoire Didelot', 'Mathieu Perotto', 'Brigitte Froment', 'Juliette Forton', 'Nicodème Gouellet', 'Kelly Rivière', 'Justine Viotty', 'Monique Grand-Perret', 'Ariane Pirié', 'Vincent Perrin', 'Thierry Legastelois']",['No budget']
Titre non trouvé,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,0,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
"Simone, le voyage du siècle","6,8","1,4 k","['Biographique', 'Drame', 'Historique']","['Français', 'Hébreu', 'Allemand']",['France'],Tous publics,2h 20min,2022,['No Popularity Score'],Olivier Dahan,Olivier Dahan,"['Olivier Dahan', 'Scénario', 'Olivier Dahan']","['Elsa Zylberstein', 'Rebecca Marder', 'Élodie Bouchez', 'Judith Chemla', 'Olivier Gourmet', 'Mathieu Spinosi', 'Philippe Lellouche', 'Bastien Bouillon', 'Lubna Azabal', 'François Rollin', 'Antoine Chappey', 'Antoine Gouy', 'Lucie Rouxel', 'Esther Valding', 'Jennifer Decker', 'Hannah Levin', 'Camille Rutherford', 'Sylvie Testud']",['No budget']
The Marvels,"5,5",122 k,"['Action', 'Aventure', 'Fantastique']","['Anglais', 'Urdu']",['États-Unis'],Tous publics,1h 45min,2023,262,Nia DaCosta,Nia DaCosta,"['Nia DaCosta', 'Nia DaCosta', 'Megan McDonnell']","['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Samuel L. Jackson', 'Zawe Ashton', 'Gary Lewis', 'Park Seo-joon', 'Zenobia Shroff', 'Mohan Kapur', 'Saagar Shaikh', 'Leila Farzad', 'Abraham Popoola', 'Lashana Lynch', 'Tessa Thompson', 'Daniel Ings', 'Alex Hughes', 'Shardiah Ssagala', 'Cecily Cleeve']",220 000 000 $US (estimé)
Equalizer 3,"6,8",112 k,"['Action', 'Policier', 'Thriller']","['Anglais', 'Italien']","['États-Unis', 'Italie']",12,1h 49min,2023,156,Antoine Fuqua,Antoine Fuqua,"['Antoine Fuqua', 'Richard Wenk', 'Michael Sloan']","['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone', 'Zakaria Hamza', 'Manuela Tasciotti', 'Dea Lanzaro', 'Sonia Ammar', 'Alessandro Pess', 'Niccolò Fava', 'Alessandro Xavier De Silva', 'Adolfo Margiotta', 'Niccolò Senni']",70 000 000 $US (estimé)
Le Clan des Sacketts,"7,6","2,2 k","['Drame', 'Western']","['Anglais', 'Espagnol']",['États-Unis'],1979,PG,Mini-série télévisée,2 129,Casting principal,Casting principal,"['Casting principal', 'Sam Elliott', 'Tom Selleck']","['Sam Elliott', 'Tom Selleck', 'Jeff Osterhage', 'Glenn Ford', 'Ben Johnson', 'Gilbert Roland', 'John Vernon', 'Ruth Roman', 'Jack Elam', 'Gene Evans', 'L.Q. Jones', 'Paul Koslo', 'Mercedes McCambridge', 'Slim Pickens', ""Louis L'Amour"", 'Buck Taylor', 'Pat Buttram', 'Shug Fisher']",['No budget']
Élémentaire,"7,0",125 k,"['Animation', 'Aventure', 'Comédie']",['Anglais'],['États-Unis'],Tous publics,1h 41min,2023,500,Peter Sohn,Peter Sohn,"['Peter Sohn', 'Scénario', 'John Hoberg']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie Del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet', 'Joe Pera', 'Matthew Yang King', 'Clara Lin Ding', 'Reagan To', 'Jeff LaPensee', 'Ben Morris', 'Jonathan Adams', 'Alex Kapp', 'P.L. Brown']",200 000 000 $US (estimé)
Nome,"7,2",28,"['Drame', 'Guerre']",['Portugais'],"['Guinée-Bissau', 'France', 'Portugal', 'Angola']",1h 58min,0,2023,['No Popularity Score'],Sana Na N'Hada,Sana Na N'Hada,"[""Sana Na N'Hada"", 'Virgílio Almeida', 'Olivier Marboeuf']","['Marcelino António Ingira', 'Binete Undonque']",['No budget']
Linda veut du poulet !,"7,3",293,"['Animation', 'Comédie', 'Comédie Musicale']","['Français', 'Italien']","['France', 'Italie']",Tous publics,1h 13min,2023,['No Popularity Score'],Sébastien Laudenbach,Sébastien Laudenbach,"['Sébastien Laudenbach', 'Chiara Malta', 'Chiara Malta']","['Mélinée Leclerc', 'Clotilde Hesme', 'Laetitia Dosch', 'Estéban', 'Patrick Pineau', 'Claudine Acs', 'Jean-Marie Fonbonne', 'Antoine Momey', 'Pietro Sermonti', 'Scarlett Cholleton', 'Alenza Dus', 'Anaïs Weller', 'Milan Cerisier', 'Nahil Mostefa', 'Anna Parent', 'Yannis Amouroux', 'Laurent Mothe', 'Thierry Garet']",['No budget']
Un coup de dés,"5,3",140,"['Drame', 'Thriller']",['Français'],"['France', 'Belgique']",Tous publics,1h 25min,2023,['No Popularity Score'],Yvan Attal,Yvan Attal,"['Yvan Attal', 'Scénario', 'Eric Assous']","['Yvan Attal', 'Maïwenn', 'Guillaume Canet', 'Marie-Josée Croze', 'Alma Jodorowsky', 'Victor Belmondo', 'Michaël Erpelding', 'Loan Visioli', 'Maxime Chaelis', 'Delphine Chatelin', 'Stéphane Pezerat', 'Flora Djien', 'Audrey Baldassare', 'Arnaud Boisseau', 'Oscar Catarino', 'Javed Khan', 'Jade Phan-Gia', 'Olivier Fazio']",['No budget']
OSS 117: Alerte rouge en Afrique noire,"5,8","5,8 k","['Action', 'Comédie']","['Français', 'Russe', 'Allemand']","['France', 'Belgique']",Tous publics,1h 57min,2021,['No Popularity Score'],Nicolas Bedos,Nicolas Bedos,"['Nicolas Bedos', 'Scénario', 'Jean-François Halin']","['Jean Dujardin', 'Pierre Niney', ""Fatou N'Diaye"", 'Natacha Lindinger', 'Wladimir Yordanoff', 'Gilles Cohen', 'Habib Dembélé', 'Ivan Franek', 'Pol White', ""Emile Abossolo M'bo"", 'Ibrahim Koma', 'Melodie Casta', 'Brice Fournier', 'Christelle Cornil', 'Bruno Paviot', 'Karim Barras', 'Jean-Édouard Bodziak', 'Martial Courcier']",['No budget']
Le Chat potté 2 : La Dernière Quête,"7,8",174 k,"['Animation', 'Action', 'Aventure']","['Anglais', 'Russe', 'Espagnol', 'Ukrainien']","['États-Unis', 'Japon']",Tous publics,1h 42min,2022,685,Joel Crawford,Joel Crawford,"['Joel Crawford', 'Januel Mercado', 'Scénario']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney', 'Wagner Moura', ""Da'Vine Joy Randolph"", 'Anthony Mendez', 'Kevin McCann', 'Bernardo De Paula', 'Betsy Sodaro', 'Artemis Pebdani', 'Conrad Vernon', 'Cody Cameron', 'Kailey Crawford']",90 000 000 $US (estimé)
La voie royale,"6,6",361,['Drame'],['Français'],"['France', 'Suisse']",Tous publics,1h 47min,2023,['No Popularity Score'],Frédéric Mermoud,Frédéric Mermoud,"['Frédéric Mermoud', 'Scénario', 'Anton Likiernik']","['Suzanne Jouannet', 'Marie Colomb', 'Maud Wyler', 'Lorenzo Lefèbvre', 'Cyril Metzger', 'Marilyne Canto', 'Alexandre Desrousseaux', 'Antoine Chappey', 'Vincent Winterhalter', 'Josef Mlekuz', 'Jérémie Nicolet', 'Ines Ouchaaou', 'Arthur Campardon', 'Angèle Arnaud', 'Kristian Hartmann', 'Savannah Rol', 'Nicolas Bauwens', 'Thomas Snégaroff']",3 140 000 € (estimé)
-M- Ils sont fous ces humains! feat. Bigflo & Oli (B.O. Astérix et Obélix L'Empire du Milieu),0,0,['Musical'],['Français'],['France'],2023,4min,Clip musical,['No Popularity Score'],Igor Dorembus,Igor Dorembus,"['Igor Dorembus', 'Guillaume Canet', 'Scénario']","['Brad Thomas Ackley', 'Guillaume Canet', 'Matthieu Chedid', 'Maxime Garoute', 'Gilles Lellouche', 'Bigflo & Oli', 'Florian Ordoñez', 'Olivio Ordoñez']",['No budget']
Le Dernier Voyage du Demeter,"6,1",48 k,"['Fantastique', 'Horreur']",['Anglais'],"['États-Unis', 'Royaume-Uni', 'Canada', 'Inde', 'Allemagne']",12,1h 58min,2023,608,André Øvredal,André Øvredal,"['André Øvredal', 'Scénario', 'Bram Stoker']","['Corey Hawkins', 'Aisling Franciosi', 'Liam Cunningham', 'David Dastmalchian', 'Chris Walley', 'Jon Jon Briones', 'Stefan Kapicic', 'Martin Furulund', 'Nikolai Nikolaeff', 'Woody Norman', 'Javier Botet', 'Graham Turner', 'Andy Murray', 'Nicolo Pasetti', 'Christopher York', 'Vladimir Cabak', 'Rudolf Danielewicz', 'Noureddine Farihi']",45 000 000 $US (estimé)
Spider-Man: Across the Spider-Verse,"8,6",364 k,"['Animation', 'Action', 'Aventure']",['Anglais'],['États-Unis'],Tous publics,2h 20min,2023,162,Joaquim Dos Santos,Joaquim Dos Santos,"['Joaquim Dos Santos', 'Kemp Powers', 'Justin K. Thompson']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Daniel Kaluuya', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Mahershala Ali', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch']",150 000 000 $US (estimé)
Sound of Freedom,"7,6",113 k,"['Biographique', 'Policier', 'Drame']","['Anglais', 'Espagnol']","['Mexique', 'États-Unis']",Tous publics,2h 11min,2023,291,Alejandro Monteverde,Alejandro Monteverde,"['Alejandro Monteverde', 'Rod Barr', 'Alejandro Monteverde']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Cristal Aparicio', 'Javier Godino', 'Lucás Ávila', 'Yessica Borroto Perryman', 'Manny Perez', 'Eduardo Verástegui', 'Samuel Livingston', 'Gustavo Sánchez Parra', 'Kris Avedisian', 'José Zúñiga', 'Carlos Gutiérrez', 'Hector Lucumi', 'Mauricio Cujar', 'Gary Basaraba', 'Gerardo Taracena']",14 600 000 $US (estimé)
Irréductible,"6,1","1,9 k",['Comédie'],"['Suédois', 'Français']",['France'],Tous publics,1h 23min,2022,['No Popularity Score'],Jérôme Commandeur,Jérôme Commandeur,"['Jérôme Commandeur', 'Scénario', 'Jérôme Commandeur']","['Jérôme Commandeur', 'Laetitia Dosch', 'Pascale Arbillot', 'Nicole Calfan', 'Éva Darlan', 'Estéban', 'Jean-Marie Winling', 'Christian Clavier', 'Gérard Darmon', 'Valérie Lemercier', 'Malik Bentalha', 'Gérard Depardieu', 'Tiago Simonnet', 'Ezio Sutter', 'Mia Teak', 'Jean-Louis Loca', 'Stéphane Pezerat', 'Noam Mouedda-Azzem']",['No budget']
Misanthrope,"6,6",37 k,"['Action', 'Policier', 'Drame']",['Anglais'],"['États-Unis', 'Canada']",Tous publics,1h 59min,2023,1 472,Damián Szifron,Damián Szifron,"['Damián Szifron', 'Damián Szifron', 'Jonathan Wakeham']","['Shailene Woodley', 'Ben Mendelsohn', 'Jovan Adepo', 'Ralph Ineson', 'Richard Zeman', 'Dusan Dukic', 'Jason Cavalier', 'Nick Walker', 'Darcy Laurie', 'Mark Camacho', 'Frank Schorpion', 'Marcello Bezina', 'Dawn Lambing', 'Martyne Musau', 'Adam LeBlanc', 'Daniel Brochu', 'Sean Tucker', 'Maurizio Terrazzano']",['No budget']
The Covenant,"7,5",161 k,"['Action', 'Drame', 'Thriller']","['Anglais', 'Dari']","['Royaume-Uni', 'Espagne', 'États-Unis']",R,2h 3min,2023,193,Guy Ritchie,Guy Ritchie,"['Guy Ritchie', 'Guy Ritchie', 'Ivan Atkinson']","['Jake Gyllenhaal', 'Dar Salim', 'Sean Sagar', 'Jason Wong', 'Rhys Yates', 'Christian Ochoa Lavernia', 'Bobby Schofield', 'Emily Beecham', 'Jonny Lee Miller', 'Alexander Ludwig', 'Reza Diako', 'James Nelson-Joyce', 'Gary Anthony Stennette', 'Saboor Sahak', 'Antony Starr', 'Abbas Fasaei', 'Hadi Khanjanpour', 'Ash Goldeh']",55 000 000 $US (estimé)
"Mission : Impossible - Dead Reckoning, partie 1","7,7",244 k,"['Action', 'Aventure', 'Thriller']","['Anglais', 'Français', 'Italien', 'Russe']",['États-Unis'],Tous publics,2h 43min,2023,103,Christopher McQuarrie,Christopher McQuarrie,"['Christopher McQuarrie', 'Bruce Geller', 'Christopher McQuarrie']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny', 'Shea Whigham', 'Greg Tarzan Davis', 'Frederick Schmidt', 'Mariela Garriga', 'Cary Elwes', 'Charles Parnell', 'Mark Gatiss', 'Indira Varma', 'Rob Delaney']",291 000 000 $US (estimé)
Un métier sérieux,"6,6",894,"['Comédie', 'Drame']",['Français'],['France'],Tous publics,1h 41min,2023,['No Popularity Score'],Thomas Lilti,Thomas Lilti,"['Thomas Lilti', 'Thomas Lilti', 'Casting principal']","['Vincent Lacoste', 'François Cluzet', 'Louise Bourgoin', 'Adèle Exarchopoulos', 'William Lebghil', 'Lucie Zhang', 'Bouli Lanners', 'Léo Chalié', 'Théo Navarro-Mussy', 'Mustapha Abourachid', 'Hubert Myon', 'Sylvie Lachat', 'Christophe Ntakabanyura', 'Michaël Perez', 'Justine Bachelet', 'Valérie Crouzet', 'Jérémy Gillet', 'Foëd Amara']",7 600 000 € (estimé)
Smile,"6,5",159 k,"['Horreur', 'Mystère', 'Thriller']","['Anglais', 'Espagnol']",['États-Unis'],12 avec avertissement,1h 55min,2022,190,Parker Finn,Parker Finn,"['Parker Finn', 'Parker Finn', 'Casting principal']","['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner', 'Robin Weigert', 'Caitlin Stasey', 'Kal Penn', 'Rob Morgan', 'Gillian Zinser', 'Judy Reyes', 'Jack Sochet', 'Nick Arapoglou', 'Perry Strong', 'Matthew Lamb', 'Dora Kiss', 'Meghan Brown Pratt', 'Jared Johnston', 'Ura Yoana Sánchez', 'Vanessa Cozart']",17 000 000 $US (estimé)
The Whale,"7,7",210 k,['Drame'],['Anglais'],['États-Unis'],Tous publics,1h 57min,2022,698,Darren Aronofsky,Darren Aronofsky,"['Darren Aronofsky', 'Scénario', 'Samuel D. Hunter']","['Brendan Fraser', 'Sadie Sink', 'Ty Simpkins', 'Hong Chau', 'Samantha Morton', 'Sathya Sridharan', 'Jacey Sink', 'Allison Altman', 'Lance Oppenheim', 'Wilhelm Schalaudek']",10 000 000 $US (estimé)
The King's Man: Première mission,"6,3",173 k,"['Action', 'Aventure', 'Thriller']","['Anglais', 'Latin', 'Allemand', 'Français', 'Russe']","['Royaume-Uni', 'États-Unis']",Tous publics,2h 11min,2021,715,Matthew Vaughn,Matthew Vaughn,"['Matthew Vaughn', 'Scénario', 'Matthew Vaughn']","['Ralph Fiennes', 'Gemma Arterton', 'Rhys Ifans', 'Harris Dickinson', 'Djimon Hounsou', 'Shaun Yusuf McKee', 'Peter York', 'Matthew Goode', 'Charles Dance', 'Alexandra Maria Lara', 'Alexander Shaw', 'Bevan Viljoen', 'Shaun Scott', 'Andrew Bridgmont', 'Olivier Richters', 'Valerie Pachner', 'Daniel Brühl', 'Joel Basman']",100 000 000 $US (estimé)
Les Éternels,"6,3",385 k,"['Action', 'Aventure', 'Fantastique']","['Anglais', 'Langue des signes américaine', 'Marathi', 'Soureth', 'Espagnol', 'Sumérien', 'Latin', 'Sanskrit', ""Grec, ancien (jusqu'en 1453)"", 'Arabe']",['États-Unis'],Tous publics,2h 36min,2021,806,Chloé Zhao,Chloé Zhao,"['Chloé Zhao', 'Scénario', 'Chloé Zhao']","['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek', 'Kit Harington', 'Kumail Nanjiani', 'Lia McHugh', 'Brian Tyree Henry', 'Lauren Ridloff', 'Barry Keoghan', 'Ma Dong-seok', 'Harish Patel', 'Bill Skarsgård', 'Haaz Sleiman', 'Esai Daniel Cross', 'Harry Styles', 'Alan Scott', 'Hannah Dodd']",200 000 000 $US (estimé)
Là où chantent les écrevisses,"7,2",119 k,"['Drame', 'Mystère', 'Romantique']",['Anglais'],['États-Unis'],Tous publics,2h 5min,2022,580,Olivia Newman,Olivia Newman,"['Olivia Newman', 'Delia Owens', 'Lucy Alibar']","['Daisy Edgar-Jones', 'Taylor John Smith', 'Harris Dickinson', 'David Strathairn', 'Michael Hyatt', 'Sterling Macer Jr.', 'Logan Macrae', 'Bill Kelly', ""Ahna O'Reilly"", 'Garret Dillahunt', 'Jojo Regina', 'Luke David Blumm', 'Blue Clarke', 'Will Bundon', 'Jayson Warner Smith', 'Dane Rhodes', 'Eric Ladin', 'Robert Larriviere']",24 000 000 $US (estimé)
Bullet Train,"7,3",424 k,"['Action', 'Comédie', 'Thriller']","['Anglais', 'Japonais', 'Espagnol', 'Russe']","['Japon', 'États-Unis']",12,2h 7min,2022,120,David Leitch,David Leitch,"['David Leitch', 'Zak Olkewicz', 'Kôtarô Isaka']","['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson', 'Brian Tyree Henry', 'Andrew Koji', 'Hiroyuki Sanada', 'Michael Shannon', 'Sandra Bullock', 'Bad Bunny', 'Logan Lerman', 'Zazie Beetz', 'Masi Oka', 'Karen Fukuhara', 'Kevin Akiyoshi Ching', 'Minchi Murakami', 'Kaori Taketani', 'Toshitaka Katsumi', 'Jim Garrity']",85 900 000 $US (estimé)
Priscilla,"6,6",33 k,"['Biographique', 'Drame', 'Musical']",['Anglais'],"['Italie', 'États-Unis']",R,1h 53min,2023,191,Sofia Coppola,Sofia Coppola,"['Sofia Coppola', 'Priscilla Presley', 'Sandra Harmon']","['Cailee Spaeny', 'Jacob Elordi', 'Ari Cohen', 'Dagmara Dominczyk', 'Tim Post', 'Lynne Griffin', 'Dan Beirne', 'Rodrigo Fernandez-Stoll', 'Dan Abramovici', 'Matthew Shaw', 'Tim Dowler-Coltman', 'R Austin Ball', 'Olivia Barrett', 'Stephanie Moore', 'Luke Humphrey', 'Deanna Jarvis', 'Jorja Cadence', 'Josette Halpert']",['No budget']
Barbaque,"6,6","3,6 k","['Comédie', 'Horreur']",['Français'],['France'],12,1h 27min,2021,['No Popularity Score'],Fabrice Eboué,Fabrice Eboué,"['Fabrice Eboué', 'Scénario', 'Fabrice Eboué']","['Marina Foïs', 'Fabrice Eboué', 'Jean-François Cayrey', 'Lisa Do Couto Texeira', 'Virginie Hocq', 'Victor Meutelet', 'Stéphane Soo Mongo', 'Nicolas Lumbreras', 'Alexia Chardard', 'Franck Migeon', 'Colette Sodoyez', 'Ted Etienne', 'Roby Schinasi', 'Alexis Pujol', 'Tom Pezier', 'Sébastien Chartier', 'Vincent Solignac', 'Benjamin Bourgois']",['No budget']
Gueules noires,"5,9",843,"['Aventure', 'Horreur']",['Français'],['France'],12,1h 43min,2023,['No Popularity Score'],Mathieu Turi,Mathieu Turi,"['Mathieu Turi', 'Mathieu Turi', 'Casting principal']","['Samuel Le Bihan', 'Amir El Kacem', 'Thomas Solivérès', 'Jean-Hugues Anglade', 'Carl Laforêt', 'Diego Martín', 'Marc Riso', 'Bruno Sanches', 'Philippe Torreton']",['No budget']
Five Nights at Freddy's,"5,5",92 k,"['Horreur', 'Mystère', 'Thriller']",['Anglais'],['États-Unis'],12,1h 49min,2023,223,Emma Tammi,Emma Tammi,"['Emma Tammi', 'Scénario', 'Scott Cawthon']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin', 'Grant Feely', 'Asher Colton Spence', 'David Huston Doty', 'Liam Hendrix', 'Jophielle Love', 'Tadasay Young', 'Michael P. Sullivan', 'Wyatt Parker', 'Lucas Grant']",20 000 000 $US (estimé)
